trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
323,FALSE,"{'a': 0.1, 'e': 0.059753052026683}",20,8,23.42032188,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,FALSE,"{'a': 0.1, 'e': 0.05927502761046952}",20,6,-19.3166787,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
325,FALSE,"{'a': 0.1, 'e': 0.05880082738958578}",20,3,27.39393296,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,FALSE,"{'a': 0.1, 'e': 0.058330420770469085}",20,0,8.520178378,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
327,FALSE,"{'a': 0.1, 'e': 0.05786377740430533}",30,12,11.20677663,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
328,FALSE,"{'a': 0.1, 'e': 0.0574008671850709}",25,14,19.58203278,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,FALSE,"{'a': 0.1, 'e': 0.05694166024759032}",25,15,-23.21225259,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
330,FALSE,"{'a': 0.1, 'e': 0.0564861269656096}",20,0,21.81264801,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
331,FALSE,"{'a': 0.1, 'e': 0.05603423794988473}",25,3,17.47864173,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
332,FALSE,"{'a': 0.1, 'e': 0.055585964046285644}",20,7,-71.95538652,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
333,FALSE,"{'a': 0.1, 'e': 0.05514127633391536}",20,5,17.81694055,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
334,FALSE,"{'a': 0.1, 'e': 0.05470014612324403}",25,12,25.67325943,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,FALSE,"{'a': 0.1, 'e': 0.054262544954258085}",20,12,13.8238044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
